1.央视,#genre#
江西卫视,http://47.104.178.59:3566/783847495
河北卫视,http://222.223.41.27:8888/hls/16/index.m3u8
河北卫视,http://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8
河北卫视,http://61.178.227.57:9901/tsfile/live/0117_1.m3u8
河北卫视,http://60.10.139.113:8801/hls/16/index.m3u8
河南卫视,http://222.223.41.27:8888/hls/36/index.m3u8
河南卫视,http://222.89.96.36:8001/hls/16/index.m3u8
河南卫视,http://61.178.227.57:9901/tsfile/live/0139_1.m3u8
河南卫视,http://60.10.139.113:8801/hls/32/index.m3u8
河南卫视,http://222.85.198.92:8000/hls/27/index.m3u8
河南卫视,http://47.104.178.59:3566/790187291
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
浙江卫视,http://222.223.41.27:8888/hls/28/index.m3u8
浙江卫视,http://222.89.96.36:8001/hls/22/index.m3u8
浙江卫视,http://61.178.227.57:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://60.10.139.113:8801/hls/18/index.m3u8
浙江卫视,http://222.85.198.92:8000/hls/18/index.m3u8
海南卫视,http://47.104.178.59:3566/947472502
深圳卫视,http://222.223.41.27:8888/hls/40/index.m3u8
深圳卫视,http://61.178.227.57:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://60.10.139.113:8801/hls/24/index.m3u8
湖北卫视,http://222.223.41.27:8888/hls/41/index.m3u8
湖北卫视,http://60.10.139.113:8801/hls/29/index.m3u8
湖北卫视,http://61.178.227.57:9901/tsfile/live/0132_1.m3u8
湖南卫视,http://222.223.41.27:8888/hls/27/index.m3u8
湖南卫视,http://61.178.227.57:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://60.10.139.113:8801/hls/17/index.m3u8
湖南卫视,http://222.85.198.92:8000/hls/17/index.m3u8
甘肃卫视,http://61.178.227.57:9901/tsfile/live/0110_1.m3u8
西藏卫视,http://61.178.227.57:9901/tsfile/live/0111_1.m3u8
贵州卫视,http://222.89.96.36:8001/hls/32/index.m3u8
